user,n_decisions,H_window_real,H_window_shuffle_mean,H_window_shuffle_std,z_window,p_emp_lower
256,50,0.5904668965416557,0.6264824746377047,0.049373550550673474,-0.7294508435054743,0.22067117315307389
257,75,0.7503744461399154,0.7558680483529184,0.04263037115862256,-0.1288659250129901,0.42118315267389306
258,50,0.8534924036060367,0.8420902411141619,0.05315756315840673,0.21449746403718745,0.5384584616615335
259,75,0.8015685289321881,0.8488481711640012,0.04295317413704764,-1.1007252241932421,0.140594376224951
260,75,0.5519046810483663,0.5919309296297701,0.042038855365867954,-0.9521250812623642,0.1699932002719891
261,74,0.7817205980815531,0.7828132259974409,0.042499715001929464,-0.02570906453932943,0.4607015719371225
262,74,0.8336460249137155,0.7897580042800242,0.044051729467821606,0.9962837138040213,0.8471661133554658
263,74,0.7710482052429544,0.7356566795238688,0.04276829095438137,0.8275178860159687,0.796488140474381
264,75,0.7258229320980684,0.7426919638822321,0.04297130497853994,-0.39256503363321726,0.3191072357105716
265,74,0.8368443548530404,0.8412480873071551,0.04312295796409285,-0.10212037072645805,0.4079436822527099
266,74,0.6735940114572794,0.778016207226954,0.04392334813610293,-2.377373315124046,0.018199272029118835
267,75,0.7836776570779476,0.7773982159704445,0.042496727324399866,0.14776293382708833,0.5198192072317107
268,75,0.8562699708732964,0.8369615430505423,0.04382270364826061,0.44060329955293587,0.640734370625175
269,75,0.6002995569119324,0.7495424818260881,0.043110447097434806,-3.461873744358269,0.002799888004479821
270,50,0.7933970362352775,0.8131222835685433,0.0541277939472423,-0.36441993834982117,0.31298748050077996
