user,H_decision,H_change,p_up,p_change,p_up_mkt_up,p_down_mkt_down,p_repeat_success,p_change_fail,n_decisions,cluster
163,0.9315627684809642,0.9798687566511528,0.6527777777777778,0.4166666666666667,0.6842105263157895,0.38235294117647056,0.6153846153846154,0.45454545454545453,72,0
164,1.0,0.954434002924965,0.5,0.375,0.9,0.7857142857142857,0.9230769230769231,0.7272727272727273,24,0
166,0.9949848281859701,0.9949848281859701,0.5416666666666666,0.5416666666666666,0.5897435897435898,0.5151515151515151,0.5135135135135135,0.6,72,0
167,0.9876925088958034,0.9986359641585718,0.5652173913043478,0.4782608695652174,0.7692307692307693,0.7,0.75,0.7272727272727273,23,0
168,0.8960382325345574,0.9798687566511528,0.6875,0.4166666666666667,0.9285714285714286,0.65,0.8064516129032258,0.8235294117647058,48,0
169,0.9998568991526107,0.9987117514654893,0.49295774647887325,0.5211267605633803,0.6136363636363636,0.7037037037037037,0.6285714285714286,0.6666666666666666,71,0
171,0.9656361333706098,0.9815886212101388,0.6086956521739131,0.42028985507246375,0.6052631578947368,0.3870967741935484,0.5882352941176471,0.42857142857142855,69,0
172,0.7885131605379785,0.9037762882345832,0.7638888888888888,0.3194444444444444,0.8775510204081632,0.4782608695652174,0.8297872340425532,0.6,72,1
173,0.9910760598382222,0.9798687566511528,0.5555555555555556,0.5833333333333334,0.7272727272727273,0.7142857142857143,0.6388888888888888,0.8055555555555556,72,0
174,0.999443333090299,1.0,0.5138888888888888,0.5,0.575,0.5625,0.5675675675675675,0.5714285714285714,72,0
175,0.7382848661434506,0.8426578772022391,0.7916666666666666,0.2708333333333333,0.9142857142857143,0.5384615384615384,0.9333333333333333,0.6111111111111112,48,1
176,0.9949848281859701,0.997772472089982,0.5416666666666666,0.4722222222222222,0.5,0.4,0.4864864864864865,0.42857142857142855,72,0
177,0.964078764808229,0.943601631299382,0.6111111111111112,0.3611111111111111,0.8222222222222222,0.7407407407407407,0.803921568627451,0.7619047619047619,72,0
178,0.9910760598382222,0.972552316568843,0.5555555555555556,0.4027777777777778,0.56,0.4545454545454546,0.6097560975609756,0.41935483870967744,72,0
179,0.9798687566511528,0.972552316568843,0.5833333333333334,0.4027777777777778,0.6666666666666666,0.5333333333333333,0.7272727272727273,0.5128205128205128,72,0
180,0.8760643678555242,0.9987117514654893,0.704225352112676,0.4788732394366197,0.803921568627451,0.55,0.6956521739130435,0.8,71,0
181,0.9883779727795041,0.9987117514654893,0.5633802816901409,0.5211267605633803,0.75,0.6774193548387097,0.71875,0.717948717948718,71,0
182,0.964078764808229,0.997772472089982,0.6111111111111112,0.4722222222222222,0.75,0.5625,0.6944444444444444,0.6388888888888888,72,0
183,0.9949848281859701,0.954434002924965,0.5416666666666666,0.625,0.6363636363636364,0.5384615384615384,0.46153846153846156,0.7272727272727273,24,0
184,0.954434002924965,0.9798687566511528,0.375,0.5833333333333334,0.7777777777777778,0.8666666666666667,0.875,0.8125,24,0
185,0.8112781244591328,0.9377342939868041,0.75,0.3541666666666667,0.9565217391304348,0.43999999999999995,0.9,0.5357142857142857,48,1
186,0.9860400318404434,0.9949848281859701,0.5694444444444444,0.4583333333333333,0.5714285714285714,0.43243243243243246,0.5405405405405406,0.45714285714285713,72,0
187,0.964078764808229,0.999443333090299,0.6111111111111112,0.5138888888888888,0.5128205128205128,0.2727272727272727,0.43103448275862066,0.2857142857142857,72,0
188,0.8812908992306927,0.9134601452569628,0.7,0.32857142857142857,0.8571428571428571,0.5357142857142857,0.8888888888888888,0.5588235294117647,70,1
189,0.9742408334889758,0.9998484829291058,0.5942028985507246,0.4927536231884058,0.7567567567567568,0.59375,0.696969696969697,0.6666666666666666,69,0
190,0.997772472089982,0.972552316568843,0.5277777777777778,0.4027777777777778,0.625,0.59375,0.6923076923076923,0.5151515151515151,72,0
191,0.9798687566511528,1.0,0.5833333333333334,0.5,0.717948717948718,0.5757575757575757,0.6341463414634146,0.6774193548387096,72,0
192,0.9582407282588408,0.9929768866085174,0.6197183098591549,0.4507042253521127,0.7073170731707317,0.5,0.65,0.5806451612903226,71,0
193,0.9037762882345832,1.0,0.6805555555555556,0.5,0.8863636363636364,0.6428571428571428,0.7837837837837838,0.8,72,0
194,0.8708644692353644,0.9949848281859701,0.7083333333333334,0.5416666666666666,0.8125,0.5,0.6428571428571428,0.8,24,0
195,1.0,0.999443333090299,0.5,0.5138888888888888,0.7692307692307693,0.8181818181818181,0.7777777777777778,0.8055555555555556,72,0
196,0.9949848281859701,0.9987472979361685,0.5416666666666666,0.4791666666666667,0.8888888888888888,0.9047619047619048,0.8846153846153846,0.9090909090909091,48,0
197,0.7382848661434506,0.9315627684809642,0.7916666666666666,0.3472222222222222,0.8157894736842105,0.23529411764705888,0.6944444444444444,0.3888888888888889,72,1
198,0.8708644692353644,0.9798687566511528,0.7083333333333334,0.5833333333333334,0.8666666666666667,0.5555555555555556,0.7,0.7857142857142857,24,0
199,0.954434002924965,0.8112781244591328,0.625,0.25,1.0,0.5294117647058824,0.9166666666666666,0.4166666666666667,24,1
200,0.9860400318404434,0.9798687566511528,0.5694444444444444,0.4166666666666667,0.5405405405405406,0.4,0.5666666666666667,0.40476190476190477,72,0
201,1.0,0.9798687566511528,0.5,0.5833333333333334,0.8157894736842105,0.8529411764705882,0.78125,0.875,72,0
202,0.954434002924965,0.9860400318404434,0.625,0.5694444444444444,0.5957446808510638,0.31999999999999995,0.44680851063829785,0.6,72,0
203,1.0,0.9798687566511528,0.5,0.4166666666666667,0.9,0.7857142857142857,0.9166666666666666,0.75,24,0
204,1.0,0.5032583347756457,0.5,0.8888888888888888,0.5,0.5,0.11111111111111116,0.8888888888888888,72,0
205,0.954434002924965,0.8708644692353644,0.625,0.7083333333333334,0.631578947368421,0.4,0.3846153846153846,0.8181818181818182,24,0
206,0.8708644692353644,0.9798687566511528,0.7083333333333334,0.4166666666666667,0.8235294117647058,0.39473684210526316,0.7096774193548387,0.5121951219512195,72,1
207,0.9582407282588408,0.9582407282588408,0.6197183098591549,0.38028169014084506,0.5588235294117647,0.32432432432432434,0.5625,0.3333333333333333,71,0
208,0.964078764808229,0.997772472089982,0.6111111111111112,0.4722222222222222,0.775,0.59375,0.7,0.6875,72,0
209,0.9798687566511528,0.964078764808229,0.5833333333333334,0.6111111111111112,0.8055555555555556,0.6388888888888888,0.6,0.875,72,0
210,0.8879763195151349,0.964078764808229,0.6944444444444444,0.3888888888888889,0.8863636363636364,0.6071428571428572,0.85,0.6875,72,0
211,0.9760206482366149,1.0,0.5909090909090909,0.5,0.7272727272727273,0.5454545454545454,0.7142857142857143,0.6,22,0
212,0.9949848281859701,0.997772472089982,0.5416666666666666,0.4722222222222222,0.8857142857142857,0.7837837837837838,0.8421052631578947,0.8235294117647058,72,0
213,0.9182958340544896,0.9798687566511528,0.6666666666666666,0.4166666666666667,0.8913043478260869,0.7307692307692308,0.875,0.78125,72,0
215,0.9315627684809642,0.997772472089982,0.6527777777777778,0.4722222222222222,0.9130434782608695,0.8076923076923077,0.8717948717948718,0.8787878787878788,72,0
216,0.9860400318404434,0.9949848281859701,0.5694444444444444,0.5416666666666666,0.5952380952380952,0.4666666666666667,0.5,0.59375,72,0
217,0.9086185980409245,0.9359407149555171,0.676056338028169,0.352112676056338,0.6486486486486487,0.2941176470588235,0.6285714285714286,0.3333333333333333,71,1
