User_ID,phenotype_kmeans,phi_star,n,match_rate_real,match_rate_shuffled,match_rate_delta,H_Dphi_real,H_Dphi_shuffled,H_Dphi_delta,I_Dphi;g_real,I_Dphi;g_shuffled,I_Dphi;g_delta,I_Dphi;TS_quad_real,I_Dphi;TS_quad_shuffled,I_Dphi;TS_quad_delta
458,Undefined,Pessimist,15,0.4666666666666667,0.4933333333333333,-0.026666666666666616,1.0448814666779354,1.0027821688103598,0.0420992978675756,0.11122776264182366,0.2424439778891077,-0.13121621524728405,-0.09845537253995373,0.10733031766478426,-0.205785690204738
460,Trustful,Trustful,15,1.0,1.0000000000000002,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,Envious,Envious,15,0.8,0.6066666666666666,0.19333333333333347,0.7700179295836611,0.9899215836940066,-0.21990365411034551,0.5055872616982602,0.25077158714554304,0.25481567455271714,0.19083076033529478,0.1874350297670087,0.0033957305682860706
462,Undefined,Optimist,15,0.6,0.5133333333333334,0.08666666666666656,1.0190404291509674,0.9982292578920214,0.020811171258945937,0.10745259144027508,0.13972316374603733,-0.032270572305762246,-0.12429641006692149,0.049074121608821145,-0.17337053167574262
463,Optimist,Optimist,15,0.6666666666666666,0.5000000000000001,0.16666666666666652,0.9663856687507884,1.0173472412287496,-0.05096157247796129,0.27709953587554015,0.10463855160773497,0.17246098426780518,0.19409203601977132,0.025315693536538963,0.16877634248323237
464,Pessimist,Pessimist,15,0.6,0.49333333333333335,0.10666666666666663,1.0190404291509674,1.0023120124976874,0.016728416653279954,0.0593627567439764,0.24247268286288162,-0.18310992611890523,0.04381136194806079,0.08543748984779902,-0.04162612789973823
465,Undefined,Trustful,15,0.5333333333333333,0.5333333333333333,0.0,1.0448814666779354,1.0448814666779356,-2.220446049250313e-16,0.18361946244480776,0.2082610456194867,-0.024641583174678933,0.17039699457150648,0.10470618617348844,0.06569080839801804
466,Undefined,Trustful,15,0.6,0.6000000000000003,-3.3306690738754696e-16,1.0190404291509674,1.0190404291509676,-2.220446049250313e-16,0.34143759172873767,0.28688030792882224,0.054557283799915424,0.23412822676628353,0.11522266287130674,0.11890556389497679
467,Optimist,Optimist,17,0.8235294117647058,0.47058823529411764,0.3529411764705882,0.7147270241606074,0.9985746256412432,-0.2838476014806358,0.38672111282426475,0.08955071650898698,0.29717039631527775,0.3193536406050496,0.007288508814623628,0.312065131790426
469,Trustful,Trustful,17,0.7058823529411765,0.7058823529411763,2.220446049250313e-16,0.9164132552123273,0.9164132552123273,0.0,0.004117929960571365,0.08446333581765475,-0.08034540585708339,0.004117929960571365,0.08446333581765475,-0.08034540585708339
